Date,Close/Last,Volume,Open,High,Low
02/22/2023,33045.09,N/A,33169.33,33245.97,32948.27
02/21/2023,33129.59,N/A,33699.69,33699.69,33115.74
02/17/2023,33826.69,N/A,33677.01,33846.64,33517.73
02/16/2023,33696.85,N/A,33992.09,34041.16,33686.59
02/15/2023,34128.05,N/A,34008.63,34130.49,33833.10
02/14/2023,34089.27,N/A,34194.09,34331.47,33827.45
02/13/2023,34245.93,N/A,33887.39,34249.60,33887.39
02/10/2023,33869.27,N/A,33671.54,33897.31,33591.99
02/09/2023,33699.88,N/A,34105.61,34252.57,33607.13
02/08/2023,33949.01,N/A,34132.90,34161.65,33899.79
02/07/2023,34156.69,N/A,33769.78,34240.00,33634.10
02/06/2023,33891.02,N/A,33874.44,33962.84,33683.58
02/03/2023,33926.01,N/A,33926.30,34179.58,33813.86
02/02/2023,34053.94,N/A,34129.30,34145.14,33814.78
02/01/2023,34092.96,N/A,34039.60,34334.70,33581.42
01/31/2023,34086.04,N/A,33803.56,34095.23,33664.91
01/30/2023,33717.09,N/A,33909.21,34055.29,33695.18
01/27/2023,33978.08,N/A,33952.93,34164.33,33830.85
01/26/2023,33949.41,N/A,33771.66,33953.79,33635.60
01/25/2023,33743.84,N/A,33538.36,33773.09,33273.21
01/24/2023,33733.96,N/A,33444.72,33782.92,33310.56
01/23/2023,33629.56,N/A,33439.56,33782.88,33316.25
01/20/2023,33375.49,N/A,33073.46,33381.95,32948.93
01/19/2023,33044.56,N/A,33171.35,33227.49,32982.05
01/18/2023,33296.96,N/A,33948.49,34016.53,33269.90
01/17/2023,33910.85,N/A,34222.32,34269.97,33860.67
01/13/2023,34302.61,N/A,34075.31,34342.32,33915.49
01/12/2023,34189.97,N/A,34047.86,34292.67,33792.10
01/11/2023,33973.01,N/A,33754.03,33974.69,33711.04
01/10/2023,33704.10,N/A,33516.43,33726.54,33421.80
01/09/2023,33517.65,N/A,33664.39,33935.11,33487.66
01/06/2023,33630.61,N/A,33055.30,33710.66,32997.39
01/05/2023,32930.08,N/A,33191.72,33191.72,32812.33
01/04/2023,33269.77,N/A,33165.14,33409.10,33033.48
01/03/2023,33136.37,N/A,33148.90,33387.52,32850.57
12/30/2022,33147.25,N/A,33121.61,33152.55,32847.82
12/29/2022,33220.80,N/A,33021.43,33293.42,33020.35
12/28/2022,32875.71,N/A,33264.76,33379.55,32869.15
12/27/2022,33241.56,N/A,33224.23,33387.72,33069.58
12/23/2022,33203.93,N/A,32961.06,33226.14,32814.02
12/22/2022,33027.49,N/A,33233.35,33233.35,32573.43
12/21/2022,33376.48,N/A,33028.09,33437.84,33028.09
12/20/2022,32849.74,N/A,32735.24,32992.23,32649.45
12/19/2022,32757.54,N/A,32921.45,33038.94,32581.97
12/16/2022,32920.46,N/A,33166.46,33166.46,32654.59
12/15/2022,33202.22,N/A,33773.00,33773.00,33016.16
12/14/2022,33966.35,N/A,34086.07,34395.65,33704.17
12/13/2022,34108.64,N/A,34268.44,34712.28,33890.88
12/12/2022,34005.04,N/A,33519.50,34005.04,33519.50
12/09/2022,33476.46,N/A,33746.71,33844.63,33462.65
12/08/2022,33781.48,N/A,33695.97,33899.17,33642.46
12/07/2022,33597.92,N/A,33556.40,33774.27,33503.67
12/06/2022,33596.34,N/A,33936.87,34006.63,33418.59
12/05/2022,33947.10,N/A,34335.73,34335.73,33846.81
12/02/2022,34429.88,N/A,34265.45,34483.21,34039.73
12/01/2022,34395.01,N/A,34533.59,34595.51,34129.35
11/30/2022,34589.77,N/A,33795.43,34589.77,33583.77
11/29/2022,33852.53,N/A,33847.80,33933.91,33662.45
11/28/2022,33849.46,N/A,34275.91,34303.88,33799.35
11/25/2022,34347.03,N/A,34213.04,34386.51,34199.57
11/23/2022,34194.06,N/A,34091.57,34262.07,34004.64
11/22/2022,34098.10,N/A,33810.05,34115.70,33810.05
11/21/2022,33700.28,N/A,33760.30,33864.59,33559.18
11/18/2022,33745.69,N/A,33606.59,33827.94,33540.64
11/17/2022,33546.32,N/A,33329.27,33616.02,33239.75
11/16/2022,33553.83,N/A,33554.93,33682.83,33516.99
11/15/2022,33592.92,N/A,33755.94,33987.06,33320.20
11/14/2022,33536.70,N/A,33662.05,33964.30,33533.96
11/11/2022,33747.86,N/A,33797.75,33817.96,33394.43
11/10/2022,33715.37,N/A,33263.91,33727.73,33167.82
11/09/2022,32513.94,N/A,33004.47,33065.11,32478.87
11/08/2022,33160.83,N/A,32934.56,33355.39,32831.46
11/07/2022,32827.00,N/A,32454.10,32895.59,32424.99
11/04/2022,32403.22,N/A,32265.01,32611.52,31938.92
11/03/2022,32001.25,N/A,31985.05,32185.71,31727.05
11/02/2022,32147.76,N/A,32576.28,33071.93,32139.77
11/01/2022,32653.20,N/A,32862.79,32975.48,32485.23
10/31/2022,32732.95,N/A,32754.27,32883.86,32586.93
10/28/2022,32861.80,N/A,32204.31,32889.81,32158.38
10/27/2022,32033.28,N/A,32062.14,32388.42,31993.21
10/26/2022,31839.11,N/A,31738.44,32172.42,31738.44
10/25/2022,31836.74,N/A,31463.65,31876.15,31423.53
10/24/2022,31499.62,N/A,31187.32,31603.63,31161.41
10/21/2022,31082.56,N/A,30291.18,31119.27,30206.28
10/20/2022,30333.59,N/A,30411.92,30822.96,30265.20
10/19/2022,30423.81,N/A,30439.04,30662.11,30226.90
10/18/2022,30523.80,N/A,30697.52,30837.90,30301.83
10/17/2022,30185.82,N/A,30059.58,30311.95,29997.62
10/14/2022,29634.83,N/A,30192.21,30428.82,29614.30
10/13/2022,30038.72,N/A,28755.83,30168.54,28660.94
10/12/2022,29210.85,N/A,29233.06,29455.12,29136.03
10/11/2022,29239.19,N/A,29085.20,29608.42,29074.23
10/10/2022,29202.88,N/A,29419.09,29485.82,29010.41
10/07/2022,29296.79,N/A,29685.27,29685.27,29142.66
